WildeLinde 2021,,,
,,,
Was,Gesamtpreis,,
Setzlinge,,,
"Zuccini, Gurken, Lauch, Grünkohl","10,25 €",,
30 Broccoli,,"9,00 €",
15 Mangold,,"4,50 €",
20 Wirsing,,"6,00 €",
30 Salate,,"9,00 €",
1 Artischoke,,"3,80 €",
3 Oberginen,,"10,50 €",
60 Rote bete,,"18,00 €",
20 Petersilie,,"6,00 €",
23 Sellerie,,"6,90 €",
40 Lauch,,"10,00 €",
4 Kürbis,,"6,00 €",
7 Zuccini,,"10,50 €",
8 Landgurken,,"12,00 €",
1 Melone,,"2,50 €",
8 Tomaten,,"22,40 €",
6 Tomaten,,"19,20 €",
,,"156,30 €",
,,"-31,30 €",Rabatt
,"125,00 €","125,00 €",
,,,
5 Landgurken,,"7,50 €",
15 Romana Salat,,"4,50 €",
6 Lauch,,"1,50 €",
30 Grünkohl,,"9,00 €",
25 Rosenkohl,,"7,50 €",
30 Mangold,,"9,00 €",
5 Rote Bete,,"1,50 €",
,,"40,50 €",
,,"-8,10 €",Rabatt
,"32,40 €","32,40 €",
Ackersalat,"3,50 €",,
Kohlrabi Salat Broccoli,"4,80 €",,
35 Ackersalat,"5,25 €",,
24 Salate,"7,20 €",,
33 Salate,"9,90 €",,
33 Salate,"9,90 €",,
40 Ackersalat,"6,00 €",,
36 Ackersalat,"5,40 €",,
,,,
,,,
Samen u. Zwiebeln,,,
Calendula,"3,19 €",,
Steckzwiebeln,"2,80 €",,
Steckzwiebeln,"2,12 €",,
Gründüngung Samen,"20,47 €",,
Buschbohnensamen,"5,98 €",,
Samen,"9,76 €",,
Blumenzwiebeln,"3,99 €",,
,,,
"Stauden, Sträucher, Bäume",,,
,,,
Sonstiges,,,
Dünger,"11,99 €",,
Dünger,"11,99 €",,
2 Dünger,"23,98 €",,
Dünger,"11,99 €",,
Pflanzerde,"11,49 €",,
Dünger,"11,99 €",,
Humofix,"7,20 €",,
Pflanzerde,"11,49 €",,
Spatenstiel,"12,99 €",,
Blumen u. Planzen,"45,60 €",,
Komposter,"59,99 €",,
Spatengabel,"34,99 €",,
Grabegabel,"32,99 €",,
2 Johannisbeeren,"15,98 €",,
Johannisbeere,"7,99 €",,
6 Himbeeren,"41,94 €",,
hof jeebel,"182,60 €",,
,,,
Geasmt,"805,10 €",,
